Kota/Kabupaten;Tahun;Tanaman;Produksi;Wilayah
Kediri;2021;Mangga;762121;Kabupaten
Malang;2021;Mangga;125140;Kabupaten
Lumajang;2021;Mangga;94122;Kabupaten
Jember;2021;Mangga;125589;Kabupaten
Banyuwangi;2021;Mangga;119831;Kabupaten
Bondowoso;2021;Mangga;814698;Kabupaten
Situbondo;2021;Mangga;309424;Kabupaten
Probolinggo;2021;Mangga;1412406;Kabupaten
Pasuruan;2021;Mangga;1680232;Kabupaten
Sidoarjo;2021;Mangga;99273;Kabupaten
Mojokerto;2021;Mangga;117178;Kabupaten
Jombang;2021;Mangga;477591;Kabupaten
Nganjuk;2021;Mangga;222937;Kabupaten
Madiun;2021;Mangga;383108;Kabupaten
Magetan;2021;Mangga;283883;Kabupaten
Ngawi;2021;Mangga;148098;Kabupaten
Bojonegoro;2021;Mangga;375295;Kabupaten
Tuban;2021;Mangga;456566;Kabupaten
Lamongan;2021;Mangga;186905;Kabupaten
Gresik;2021;Mangga;1418553;Kabupaten
Bangkalan;2021;Mangga;174979;Kabupaten
Sampang;2021;Mangga;549758;Kabupaten
Pamekasan;2021;Mangga;91614;Kabupaten
Sumenep;2021;Mangga;228428;Kabupaten
Kediri;2021;Mangga;9313;Kota
Blitar;2021;Mangga;8428;Kota
Malang;2021;Mangga;9536;Kota
Probolinggo;2021;Mangga;17792;Kota
Pasuruan;2021;Mangga;23900;Kota
Mojokerto;2021;Mangga;12588;Kota
Madiun;2021;Mangga;10190;Kota
Surabaya;2021;Mangga;3676;Kota
Batu;2021;Mangga;735;Kota
Pacitan;2018;Pepaya;18542;Kabupaten
Ponorogo;2018;Pepaya;91468;Kabupaten
Trenggalek;2018;Pepaya;10472;Kabupaten
Tulungagung;2018;Pepaya;99218;Kabupaten
Blitar;2018;Pepaya;68485;Kabupaten
Kediri;2018;Pepaya;159261;Kabupaten
Malang;2018;Pepaya;515534;Kabupaten
Lumajang;2018;Pepaya;251861;Kabupaten
Jember;2018;Pepaya;794057;Kabupaten
Banyuwangi;2018;Pepaya;178222;Kabupaten
Bondowoso;2018;Pepaya;21037;Kabupaten
Situbondo;2018;Pepaya;5991;Kabupaten
Probolinggo;2018;Pepaya;11658;Kabupaten
Pasuruan;2018;Pepaya;153892;Kabupaten
Sidoarjo;2018;Pepaya;1928;Kabupaten
Mojokerto;2018;Pepaya;7866;Kabupaten
Jombang;2018;Pepaya;20308;Kabupaten
Nganjuk;2018;Pepaya;4590;Kabupaten
Madiun;2018;Pepaya;16805;Kabupaten
Magetan;2018;Pepaya;9785;Kabupaten
Ngawi;2018;Pepaya;32062;Kabupaten
Bojonegoro;2018;Pepaya;58595;Kabupaten
Tuban;2018;Pepaya;18433;Kabupaten
Lamongan;2018;Pepaya;11772;Kabupaten
Gresik;2018;Pepaya;3919;Kabupaten
Bangkalan;2018;Pepaya;5337;Kabupaten
Sampang;2018;Pepaya;2942;Kabupaten
Pamekasan;2018;Pepaya;12051;Kabupaten
Sumenep;2018;Pepaya;24232;Kabupaten
Kediri;2018;Pepaya;1098;Kota
Blitar;2018;Pepaya;4448;Kota
Malang;2018;Pepaya;1399;Kota
Probolinggo;2018;Pepaya;789;Kota
Pasuruan;2018;Pepaya;1181;Kota
Mojokerto;2018;Pepaya;42;Kota
Madiun;2018;Pepaya;438;Kota
Surabaya;2018;Pepaya;740;Kota
Batu;2018;Pepaya;1144;Kota
Pacitan;2019;Pepaya;17494;Kabupaten
Ponorogo;2019;Pepaya;91529;Kabupaten
Trenggalek;2019;Pepaya;11025;Kabupaten
Tulungagung;2019;Pepaya;53265;Kabupaten
Blitar;2019;Pepaya;55778;Kabupaten
Kediri;2019;Pepaya;222357;Kabupaten
Malang;2019;Pepaya;515732;Kabupaten
Lumajang;2019;Pepaya;399483;Kabupaten
Jember;2019;Pepaya;927261;Kabupaten
Banyuwangi;2019;Pepaya;70522;Kabupaten
Bondowoso;2019;Pepaya;21871;Kabupaten
Situbondo;2019;Pepaya;4327;Kabupaten
Probolinggo;2019;Pepaya;14560;Kabupaten
Pasuruan;2019;Pepaya;196907;Kabupaten
Sidoarjo;2019;Pepaya;2391;Kabupaten
Mojokerto;2019;Pepaya;9719;Kabupaten
Jombang;2019;Pepaya;30246;Kabupaten
Nganjuk;2019;Pepaya;8823;Kabupaten
Madiun;2019;Pepaya;16962;Kabupaten
Magetan;2019;Pepaya;7874;Kabupaten
Ngawi;2019;Pepaya;27122;Kabupaten
Bojonegoro;2019;Pepaya;37878;Kabupaten
Tuban;2019;Pepaya;10167;Kabupaten
Lamongan;2019;Pepaya;21093;Kabupaten
Gresik;2019;Pepaya;8486;Kabupaten
Bangkalan;2019;Pepaya;6267;Kabupaten
Sampang;2019;Pepaya;9171;Kabupaten
Pamekasan;2019;Pepaya;9279;Kabupaten
Sumenep;2019;Pepaya;24693;Kabupaten
Kediri;2019;Pepaya;888;Kota
Blitar;2019;Pepaya;5564;Kota
Malang;2019;Pepaya;952;Kota
Probolinggo;2019;Pepaya;840;Kota
Pasuruan;2019;Pepaya;1435;Kota
Mojokerto;2019;Pepaya;38;Kota
Madiun;2019;Pepaya;1031;Kota
Surabaya;2019;Pepaya;706;Kota
Batu;2019;Pepaya;1111;Kota
Pacitan;2020;Pepaya;12079;Kabupaten
Ponorogo;2020;Pepaya;81409;Kabupaten
Trenggalek;2020;Pepaya;11725;Kabupaten
Tulungagung;2020;Pepaya;47717;Kabupaten
Blitar;2020;Pepaya;49098;Kabupaten
Kediri;2020;Pepaya;223733;Kabupaten
Malang;2020;Pepaya;576033;Kabupaten
Lumajang;2020;Pepaya;319402;Kabupaten
Jember;2020;Pepaya;472098;Kabupaten
Banyuwangi;2020;Pepaya;100844;Kabupaten
Bondowoso;2020;Pepaya;31411;Kabupaten
Situbondo;2020;Pepaya;3252;Kabupaten
Probolinggo;2020;Pepaya;12686;Kabupaten
Pasuruan;2020;Pepaya;313631;Kabupaten
Sidoarjo;2020;Pepaya;2282;Kabupaten
Mojokerto;2020;Pepaya;12793;Kabupaten
Jombang;2020;Pepaya;56880;Kabupaten
Nganjuk;2020;Pepaya;8820;Kabupaten
Madiun;2020;Pepaya;20495;Kabupaten
Magetan;2020;Pepaya;6814;Kabupaten
Ngawi;2020;Pepaya;47031;Kabupaten
Bojonegoro;2020;Pepaya;42249;Kabupaten
Tuban;2020;Pepaya;13436;Kabupaten
Lamongan;2020;Pepaya;137669;Kabupaten
Gresik;2020;Pepaya;8262;Kabupaten
Bangkalan;2020;Pepaya;7422;Kabupaten
Sampang;2020;Pepaya;9526;Kabupaten
Pamekasan;2020;Pepaya;10929;Kabupaten
Sumenep;2020;Pepaya;25062;Kabupaten
Kediri;2020;Pepaya;1014;Kota
Blitar;2020;Pepaya;7835;Kota
Malang;2020;Pepaya;2416;Kota
Probolinggo;2020;Pepaya;2219;Kota
Pasuruan;2020;Pepaya;1079;Kota
Mojokerto;2020;Pepaya;24;Kota
Madiun;2020;Pepaya;2433;Kota
Surabaya;2020;Pepaya;712;Kota
Batu;2020;Pepaya;1229;Kota
Pacitan;2021;Pepaya;12324;Kabupaten
Ponorogo;2021;Pepaya;76731;Kabupaten
Trenggalek;2021;Pepaya;14656;Kabupaten
Tulungagung;2021;Pepaya;50941;Kabupaten
Blitar;2021;Pepaya;89336;Kabupaten
Kediri;2021;Pepaya;98784;Kabupaten
Malang;2021;Pepaya;924167;Kabupaten
Lumajang;2021;Pepaya;296218;Kabupaten
Jember;2021;Pepaya;265808;Kabupaten
Banyuwangi;2021;Pepaya;407684;Kabupaten
Bondowoso;2021;Pepaya;38942;Kabupaten
Situbondo;2021;Pepaya;4349;Kabupaten
Probolinggo;2021;Pepaya;21844;Kabupaten
Pasuruan;2021;Pepaya;63368;Kabupaten
Sidoarjo;2021;Pepaya;3024;Kabupaten
Mojokerto;2021;Pepaya;10679;Kabupaten
Jombang;2021;Pepaya;233907;Kabupaten
Nganjuk;2021;Pepaya;5318;Kabupaten
Madiun;2021;Pepaya;26077;Kabupaten
Magetan;2021;Pepaya;25143;Kabupaten
Ngawi;2021;Pepaya;71438;Kabupaten
Bojonegoro;2021;Pepaya;28974;Kabupaten
Tuban;2021;Pepaya;13876;Kabupaten
Lamongan;2021;Pepaya;10455;Kabupaten
Gresik;2021;Pepaya;67601;Kabupaten
Bangkalan;2021;Pepaya;9413;Kabupaten
Sampang;2021;Pepaya;26077;Kabupaten
Pamekasan;2021;Pepaya;9976;Kabupaten
Sumenep;2021;Pepaya;27384;Kabupaten
Kediri;2021;Pepaya;4199;Kota
Blitar;2021;Pepaya;10730;Kota
Malang;2021;Pepaya;2169;Kota
Probolinggo;2021;Pepaya;787;Kota
Pasuruan;2021;Pepaya;1243;Kota
Mojokerto;2021;Pepaya;101;Kota
Madiun;2021;Pepaya;2578;Kota
Surabaya;2021;Pepaya;912;Kota
Batu;2021;Pepaya;1091;Kota
Pacitan;2018;Jahe;14217215;Kabupaten
Ponorogo;2018;Jahe;5564974;Kabupaten
Trenggalek;2018;Jahe;2027930;Kabupaten
Tulungagung;2018;Jahe;57242;Kabupaten
Blitar;2018;Jahe;233803;Kabupaten
Kediri;2018;Jahe;36856;Kabupaten
Malang;2018;Jahe;7449728;Kabupaten
Lumajang;2018;Jahe;270364;Kabupaten
Jember;2018;Jahe;433142;Kabupaten
Banyuwangi;2018;Jahe;34877;Kabupaten
Bondowoso;2018;Jahe;1056064;Kabupaten
Situbondo;2018;Jahe;35073492;Kabupaten
Probolinggo;2018;Jahe;3336115;Kabupaten
Pasuruan;2018;Jahe;1480877;Kabupaten
Sidoarjo;2018;Jahe;787;Kabupaten
Mojokerto;2018;Jahe;515882;Kabupaten
Jombang;2018;Jahe;31562;Kabupaten
Nganjuk;2018;Jahe;208743;Kabupaten
Madiun;2018;Jahe;194558;Kabupaten
Magetan;2018;Jahe;2219353;Kabupaten
Ngawi;2018;Jahe;55540;Kabupaten
Bojonegoro;2018;Jahe;102776;Kabupaten
Tuban;2018;Jahe;8000;Kabupaten
Lamongan;2018;Jahe;10702;Kabupaten
Gresik;2018;Jahe;106251;Kabupaten
Bangkalan;2018;Jahe;3859;Kabupaten
Sampang;2018;Jahe;4673;Kabupaten
Pamekasan;2018;Jahe;2114765;Kabupaten
Sumenep;2018;Jahe;74287;Kabupaten
Kediri;2018;Jahe;194558;Kota
Blitar;2018;Jahe;194558;Kota
Malang;2018;Jahe;1482;Kota
Probolinggo;2018;Jahe;33;Kota
Pasuruan;2018;Jahe;194558;Kota
Mojokerto;2018;Jahe;194558;Kota
Madiun;2018;Jahe;194558;Kota
Surabaya;2018;Jahe;2917;Kota
Batu;2018;Jahe;312200;Kota
Pacitan;2019;Jahe;14398170;Kabupaten
Ponorogo;2019;Jahe;3114616;Kabupaten
Trenggalek;2019;Jahe;2359921;Kabupaten
Tulungagung;2019;Jahe;66119;Kabupaten
Blitar;2019;Jahe;123210;Kabupaten
Kediri;2019;Jahe;1957164;Kabupaten
Malang;2019;Jahe;7450539;Kabupaten
Lumajang;2019;Jahe;111372;Kabupaten
Jember;2019;Jahe;408516;Kabupaten
Banyuwangi;2019;Jahe;20358;Kabupaten
Bondowoso;2019;Jahe;831588;Kabupaten
Situbondo;2019;Jahe;10743260;Kabupaten
Probolinggo;2019;Jahe;943314;Kabupaten
Pasuruan;2019;Jahe;1243748;Kabupaten
Sidoarjo;2019;Jahe;485;Kabupaten
Mojokerto;2019;Jahe;292921;Kabupaten
Jombang;2019;Jahe;21436;Kabupaten
Nganjuk;2019;Jahe;90912;Kabupaten
Madiun;2019;Jahe;154517;Kabupaten
Magetan;2019;Jahe;2274155;Kabupaten
Ngawi;2019;Jahe;479442;Kabupaten
Bojonegoro;2019;Jahe;83230;Kabupaten
Tuban;2019;Jahe;5473;Kabupaten
Lamongan;2019;Jahe;7385;Kabupaten
Gresik;2019;Jahe;105801;Kabupaten
Bangkalan;2019;Jahe;1056;Kabupaten
Sampang;2019;Jahe;8341;Kabupaten
Pamekasan;2019;Jahe;1521883;Kabupaten
Sumenep;2019;Jahe;78335;Kabupaten
Kediri;2019;Jahe;123210;Kota
Blitar;2019;Jahe;123210;Kota
Malang;2019;Jahe;464;Kota
Probolinggo;2019;Jahe;48;Kota
Pasuruan;2019;Jahe;123210;Kota
Mojokerto;2019;Jahe;123210;Kota
Madiun;2019;Jahe;123210;Kota
Surabaya;2019;Jahe;1162;Kota
Batu;2019;Jahe;192800;Kota
Pacitan;2020;Jahe;21060220;Kabupaten
Ponorogo;2020;Jahe;2811560;Kabupaten
Trenggalek;2020;Jahe;1360108;Kabupaten
Tulungagung;2020;Jahe;16894;Kabupaten
Blitar;2020;Jahe;130806;Kabupaten
Kediri;2020;Jahe;1955453;Kabupaten
Malang;2020;Jahe;7846211;Kabupaten
Lumajang;2020;Jahe;17019;Kabupaten
Jember;2020;Jahe;784512;Kabupaten
Banyuwangi;2020;Jahe;73623;Kabupaten
Bondowoso;2020;Jahe;2074684;Kabupaten
Situbondo;2020;Jahe;314000;Kabupaten
Probolinggo;2020;Jahe;962897;Kabupaten
Pasuruan;2020;Jahe;681875;Kabupaten
Sidoarjo;2020;Jahe;309;Kabupaten
Mojokerto;2020;Jahe;288175;Kabupaten
Jombang;2020;Jahe;31896;Kabupaten
Nganjuk;2020;Jahe;60496;Kabupaten
Madiun;2020;Jahe;84417;Kabupaten
Magetan;2020;Jahe;3563246;Kabupaten
Ngawi;2020;Jahe;162974;Kabupaten
Bojonegoro;2020;Jahe;65409;Kabupaten
Tuban;2020;Jahe;24872;Kabupaten
Lamongan;2020;Jahe;3662;Kabupaten
Gresik;2020;Jahe;81270;Kabupaten
Bangkalan;2020;Jahe;1150;Kabupaten
Sampang;2020;Jahe;8469;Kabupaten
Pamekasan;2020;Jahe;179454;Kabupaten
Sumenep;2020;Jahe;103461;Kabupaten
Kediri;2020;Jahe;103461;Kota
Blitar;2020;Jahe;103461;Kota
Malang;2020;Jahe;29013;Kota
Probolinggo;2020;Jahe;44;Kota
Pasuruan;2020;Jahe;103461;Kota
Mojokerto;2020;Jahe;103461;Kota
Madiun;2020;Jahe;103461;Kota
Surabaya;2020;Jahe;191;Kota
Batu;2020;Jahe;314185;Kota
Pacitan;2021;Jahe;6741102;Kabupaten
Ponorogo;2021;Jahe;2725762;Kabupaten
Trenggalek;2021;Jahe;2192875;Kabupaten
Tulungagung;2021;Jahe;244133;Kabupaten
Blitar;2021;Jahe;549698;Kabupaten
Kediri;2021;Jahe;1043329;Kabupaten
Malang;2021;Jahe;755938;Kabupaten
Lumajang;2021;Jahe;10311;Kabupaten
Jember;2021;Jahe;399938;Kabupaten
Banyuwangi;2021;Jahe;78919;Kabupaten
Bondowoso;2021;Jahe;487430;Kabupaten
Situbondo;2021;Jahe;271775;Kabupaten
Probolinggo;2021;Jahe;880579;Kabupaten
Pasuruan;2021;Jahe;1432301;Kabupaten
Sidoarjo;2021;Jahe;332;Kabupaten
Mojokerto;2021;Jahe;370535;Kabupaten
Jombang;2021;Jahe;4589;Kabupaten
Nganjuk;2021;Jahe;63447;Kabupaten
Madiun;2021;Jahe;131126;Kabupaten
Magetan;2021;Jahe;1821514;Kabupaten
Ngawi;2021;Jahe;268336;Kabupaten
Bojonegoro;2021;Jahe;142783;Kabupaten
Tuban;2021;Jahe;33703;Kabupaten
Lamongan;2021;Jahe;3127;Kabupaten
Gresik;2021;Jahe;83570;Kabupaten
Bangkalan;2021;Jahe;710;Kabupaten
Sampang;2021;Jahe;10661;Kabupaten
Pamekasan;2021;Jahe;683733;Kabupaten
Sumenep;2021;Jahe;112046;Kabupaten
Kediri;2021;Jahe;244133;Kota
Blitar;2021;Jahe;244133;Kota
Malang;2021;Jahe;8974;Kota
Probolinggo;2021;Jahe;88;Kota
Pasuruan;2021;Jahe;244133;Kota
Mojokerto;2021;Jahe;244133;Kota
Madiun;2021;Jahe;244133;Kota
Surabaya;2021;Jahe;1388;Kota
Batu;2021;Jahe;318670;Kota
Pacitan;2018;Kencur;4385800;Kabupaten
Ponorogo;2018;Kencur;885265;Kabupaten
Trenggalek;2018;Kencur;342038;Kabupaten
Tulungagung;2018;Kencur;7771;Kabupaten
Blitar;2018;Kencur;60322;Kabupaten
Kediri;2018;Kencur;5200;Kabupaten
Malang;2018;Kencur;643225;Kabupaten
Lumajang;2018;Kencur;3411;Kabupaten
Jember;2018;Kencur;81494;Kabupaten
Banyuwangi;2018;Kencur;15917;Kabupaten
Bondowoso;2018;Kencur;3474;Kabupaten
Situbondo;2018;Kencur;10881;Kabupaten
Probolinggo;2018;Kencur;80119;Kabupaten
Pasuruan;2018;Kencur;1023551;Kabupaten
Sidoarjo;2018;Kencur;33;Kabupaten
Mojokerto;2018;Kencur;25461;Kabupaten
Jombang;2018;Kencur;7766;Kabupaten
Nganjuk;2018;Kencur;86002;Kabupaten
Madiun;2018;Kencur;54304;Kabupaten
Magetan;2018;Kencur;10881;Kabupaten
Ngawi;2018;Kencur;7157;Kabupaten
Bojonegoro;2018;Kencur;160513;Kabupaten
Tuban;2018;Kencur;8875;Kabupaten
Lamongan;2018;Kencur;8899;Kabupaten
Gresik;2018;Kencur;35;Kabupaten
Bangkalan;2018;Kencur;5873;Kabupaten
Sampang;2018;Kencur;6183;Kabupaten
Pamekasan;2018;Kencur;782650;Kabupaten
Sumenep;2018;Kencur;55116;Kabupaten
Kediri;2018;Kencur;10881;Kota
Blitar;2018;Kencur;10881;Kota
Malang;2018;Kencur;2212;Kota
Probolinggo;2018;Kencur;9;Kota
Pasuruan;2018;Kencur;10881;Kota
Mojokerto;2018;Kencur;10881;Kota
Madiun;2018;Kencur;10881;Kota
Surabaya;2018;Kencur;163;Kota
Batu;2018;Kencur;10881;Kota
Pacitan;2019;Kencur;1134884;Kabupaten
Ponorogo;2019;Kencur;459072;Kabupaten
Trenggalek;2019;Kencur;189772;Kabupaten
Tulungagung;2019;Kencur;6757;Kabupaten
Blitar;2019;Kencur;33975;Kabupaten
Kediri;2019;Kencur;14890;Kabupaten
Malang;2019;Kencur;649246;Kabupaten
Lumajang;2019;Kencur;10407;Kabupaten
Jember;2019;Kencur;96290;Kabupaten
Banyuwangi;2019;Kencur;18042;Kabupaten
Bondowoso;2019;Kencur;8176;Kabupaten
Situbondo;2019;Kencur;4;Kabupaten
Probolinggo;2019;Kencur;179608;Kabupaten
Pasuruan;2019;Kencur;472345;Kabupaten
Sidoarjo;2019;Kencur;226;Kabupaten
Mojokerto;2019;Kencur;6520;Kabupaten
Jombang;2019;Kencur;16577;Kabupaten
Nganjuk;2019;Kencur;29150;Kabupaten
Madiun;2019;Kencur;46942;Kabupaten
Magetan;2019;Kencur;16650;Kabupaten
Ngawi;2019;Kencur;3344;Kabupaten
Bojonegoro;2019;Kencur;129770;Kabupaten
Tuban;2019;Kencur;2590;Kabupaten
Lamongan;2019;Kencur;5504;Kabupaten
Gresik;2019;Kencur;65;Kabupaten
Bangkalan;2019;Kencur;2245;Kabupaten
Sampang;2019;Kencur;7266;Kabupaten
Pamekasan;2019;Kencur;202880;Kabupaten
Sumenep;2019;Kencur;58196;Kabupaten
Kediri;2019;Kencur;15733.5;Kota
Blitar;2019;Kencur;15733.5;Kota
Malang;2019;Kencur;600;Kota
Probolinggo;2019;Kencur;27;Kota
Pasuruan;2019;Kencur;15733.5;Kota
Mojokerto;2019;Kencur;15733.5;Kota
Madiun;2019;Kencur;15733.5;Kota
Surabaya;2019;Kencur;42;Kota
Batu;2019;Kencur;15733.5;Kota
Pacitan;2020;Kencur;7498030;Kabupaten
Ponorogo;2020;Kencur;157360;Kabupaten
Trenggalek;2020;Kencur;71533;Kabupaten
Tulungagung;2020;Kencur;7150;Kabupaten
Blitar;2020;Kencur;17591;Kabupaten
Kediri;2020;Kencur;7961;Kabupaten
Malang;2020;Kencur;649708;Kabupaten
Lumajang;2020;Kencur;3795;Kabupaten
Jember;2020;Kencur;131535;Kabupaten
Banyuwangi;2020;Kencur;26765;Kabupaten
Bondowoso;2020;Kencur;10539;Kabupaten
Situbondo;2020;Kencur;2;Kabupaten
Probolinggo;2020;Kencur;249573;Kabupaten
Pasuruan;2020;Kencur;76705;Kabupaten
Sidoarjo;2020;Kencur;117;Kabupaten
Mojokerto;2020;Kencur;8087;Kabupaten
Jombang;2020;Kencur;14372;Kabupaten
Nganjuk;2020;Kencur;15448;Kabupaten
Madiun;2020;Kencur;5574;Kabupaten
Magetan;2020;Kencur;20992;Kabupaten
Ngawi;2020;Kencur;1360;Kabupaten
Bojonegoro;2020;Kencur;47305;Kabupaten
Tuban;2020;Kencur;6228;Kabupaten
Lamongan;2020;Kencur;1758;Kabupaten
Gresik;2020;Kencur;21;Kabupaten
Bangkalan;2020;Kencur;1683;Kabupaten
Sampang;2020;Kencur;6182;Kabupaten
Pamekasan;2020;Kencur;42315;Kabupaten
Sumenep;2020;Kencur;57784;Kabupaten
Kediri;2020;Kencur;8087;Kota
Blitar;2020;Kencur;8087;Kota
Malang;2020;Kencur;2840;Kota
Probolinggo;2020;Kencur;6;Kota
Pasuruan;2020;Kencur;8087;Kota
Mojokerto;2020;Kencur;8087;Kota
Madiun;2020;Kencur;8087;Kota
Surabaya;2020;Kencur;14;Kota
Batu;2020;Kencur;1123;Kota
Pacitan;2021;Kencur;1637463;Kabupaten
Ponorogo;2021;Kencur;69802;Kabupaten
Trenggalek;2021;Kencur;204454;Kabupaten
Tulungagung;2021;Kencur;83287;Kabupaten
Blitar;2021;Kencur;93394;Kabupaten
Kediri;2021;Kencur;29697;Kabupaten
Malang;2021;Kencur;61594;Kabupaten
Lumajang;2021;Kencur;928;Kabupaten
Jember;2021;Kencur;108342;Kabupaten
Banyuwangi;2021;Kencur;38891;Kabupaten
Bondowoso;2021;Kencur;11065;Kabupaten
Situbondo;2021;Kencur;19495.5;Kabupaten
Probolinggo;2021;Kencur;110338;Kabupaten
Pasuruan;2021;Kencur;430927;Kabupaten
Sidoarjo;2021;Kencur;107;Kabupaten
Mojokerto;2021;Kencur;13855;Kabupaten
Jombang;2021;Kencur;14849;Kabupaten
Nganjuk;2021;Kencur;16696;Kabupaten
Madiun;2021;Kencur;33157;Kabupaten
Magetan;2021;Kencur;22295;Kabupaten
Ngawi;2021;Kencur;2567;Kabupaten
Bojonegoro;2021;Kencur;41810;Kabupaten
Tuban;2021;Kencur;9246;Kabupaten
Lamongan;2021;Kencur;2112;Kabupaten
Gresik;2021;Kencur;130;Kabupaten
Bangkalan;2021;Kencur;1696;Kabupaten
Sampang;2021;Kencur;9942;Kabupaten
Pamekasan;2021;Kencur;173492;Kabupaten
Sumenep;2021;Kencur;63730;Kabupaten
Kediri;2021;Kencur;19495.5;Kota
Blitar;2021;Kencur;19495.5;Kota
Malang;2021;Kencur;2459;Kota
Probolinggo;2021;Kencur;1;Kota
Pasuruan;2021;Kencur;19495.5;Kota
Mojokerto;2021;Kencur;19495.5;Kota
Madiun;2021;Kencur;19495.5;Kota
Surabaya;2021;Kencur;59;Kota
Batu;2021;Kencur;1527;Kota
Pacitan;2018;Mengkudu;25278;Kabupaten
Ponorogo;2018;Mengkudu;45493;Kabupaten
Trenggalek;2018;Mengkudu;93416;Kabupaten
Tulungagung;2018;Mengkudu;65325;Kabupaten
Blitar;2018;Mengkudu;39484;Kabupaten
Kediri;2018;Mengkudu;668;Kabupaten
Malang;2018;Mengkudu;340038;Kabupaten
Lumajang;2018;Mengkudu;419;Kabupaten
Jember;2018;Mengkudu;49512;Kabupaten
Banyuwangi;2018;Mengkudu;350;Kabupaten
Bondowoso;2018;Mengkudu;2165;Kabupaten
Situbondo;2018;Mengkudu;14783;Kabupaten
Probolinggo;2018;Mengkudu;15391;Kabupaten
Pasuruan;2018;Mengkudu;255748;Kabupaten
Sidoarjo;2018;Mengkudu;502;Kabupaten
Mojokerto;2018;Mengkudu;51911;Kabupaten
Jombang;2018;Mengkudu;8313;Kabupaten
Nganjuk;2018;Mengkudu;14175;Kabupaten
Madiun;2018;Mengkudu;263;Kabupaten
Magetan;2018;Mengkudu;1558;Kabupaten
Ngawi;2018;Mengkudu;1409;Kabupaten
Bojonegoro;2018;Mengkudu;19299;Kabupaten
Tuban;2018;Mengkudu;1463;Kabupaten
Lamongan;2018;Mengkudu;29934;Kabupaten
Gresik;2018;Mengkudu;14783;Kabupaten
Bangkalan;2018;Mengkudu;6532;Kabupaten
Sampang;2018;Mengkudu;46044;Kabupaten
Pamekasan;2018;Mengkudu;106665;Kabupaten
Sumenep;2018;Mengkudu;107366;Kabupaten
Kediri;2018;Mengkudu;14783;Kota
Blitar;2018;Mengkudu;14783;Kota
Malang;2018;Mengkudu;4889;Kota
Probolinggo;2018;Mengkudu;50;Kota
Pasuruan;2018;Mengkudu;14783;Kota
Mojokerto;2018;Mengkudu;14783;Kota
Madiun;2018;Mengkudu;14783;Kota
Surabaya;2018;Mengkudu;707;Kota
Batu;2018;Mengkudu;14783;Kota
Pacitan;2019;Mengkudu;27318;Kabupaten
Ponorogo;2019;Mengkudu;153143;Kabupaten
Trenggalek;2019;Mengkudu;72784;Kabupaten
Tulungagung;2019;Mengkudu;58313;Kabupaten
Blitar;2019;Mengkudu;44691;Kabupaten
Kediri;2019;Mengkudu;26500;Kabupaten
Malang;2019;Mengkudu;346753;Kabupaten
Lumajang;2019;Mengkudu;19946;Kabupaten
Jember;2019;Mengkudu;46023;Kabupaten
Banyuwangi;2019;Mengkudu;292;Kabupaten
Bondowoso;2019;Mengkudu;1598;Kabupaten
Situbondo;2019;Mengkudu;29;Kabupaten
Probolinggo;2019;Mengkudu;16681;Kabupaten
Pasuruan;2019;Mengkudu;216315;Kabupaten
Sidoarjo;2019;Mengkudu;187;Kabupaten
Mojokerto;2019;Mengkudu;23609;Kabupaten
Jombang;2019;Mengkudu;8410;Kabupaten
Nganjuk;2019;Mengkudu;7724;Kabupaten
Madiun;2019;Mengkudu;1182;Kabupaten
Magetan;2019;Mengkudu;1238;Kabupaten
Ngawi;2019;Mengkudu;2946;Kabupaten
Bojonegoro;2019;Mengkudu;8490;Kabupaten
Tuban;2019;Mengkudu;3324;Kabupaten
Lamongan;2019;Mengkudu;365739;Kabupaten
Gresik;2019;Mengkudu;16497.5;Kabupaten
Bangkalan;2019;Mengkudu;14309;Kabupaten
Sampang;2019;Mengkudu;16314;Kabupaten
Pamekasan;2019;Mengkudu;58767;Kabupaten
Sumenep;2019;Mengkudu;102355;Kabupaten
Kediri;2019;Mengkudu;16497.5;Kota
Blitar;2019;Mengkudu;16497.5;Kota
Malang;2019;Mengkudu;6775;Kota
Probolinggo;2019;Mengkudu;16497.5;Kota
Pasuruan;2019;Mengkudu;16497.5;Kota
Mojokerto;2019;Mengkudu;16497.5;Kota
Madiun;2019;Mengkudu;16497.5;Kota
Surabaya;2019;Mengkudu;1297;Kota
Batu;2019;Mengkudu;16497.5;Kota
Pacitan;2020;Mengkudu;32224;Kabupaten
Ponorogo;2020;Mengkudu;123137;Kabupaten
Trenggalek;2020;Mengkudu;104922;Kabupaten
Tulungagung;2020;Mengkudu;30697;Kabupaten
Blitar;2020;Mengkudu;32474;Kabupaten
Kediri;2020;Mengkudu;131595;Kabupaten
Malang;2020;Mengkudu;287303;Kabupaten
Lumajang;2020;Mengkudu;76936;Kabupaten
Jember;2020;Mengkudu;395464;Kabupaten
Banyuwangi;2020;Mengkudu;7561;Kabupaten
Bondowoso;2020;Mengkudu;1464;Kabupaten
Situbondo;2020;Mengkudu;21451;Kabupaten
Probolinggo;2020;Mengkudu;3560;Kabupaten
Pasuruan;2020;Mengkudu;187508;Kabupaten
Sidoarjo;2020;Mengkudu;189;Kabupaten
Mojokerto;2020;Mengkudu;27364;Kabupaten
Jombang;2020;Mengkudu;33805;Kabupaten
Nganjuk;2020;Mengkudu;1978;Kabupaten
