Kota/Kabupaten;Tahun;Tanaman;Produksi;Wilayah
Tulungagung;2020;Alpukat;15208;Kabupaten
Blitar;2020;Alpukat;93674;Kabupaten
Kediri;2020;Alpukat;114433;Kabupaten
Malang;2020;Alpukat;354240;Kabupaten
Lumajang;2020;Alpukat;27612;Kabupaten
Jember;2020;Alpukat;41467;Kabupaten
Banyuwangi;2020;Alpukat;15684;Kabupaten
Bondowoso;2020;Alpukat;56436;Kabupaten
Situbondo;2020;Alpukat;1238;Kabupaten
Probolinggo;2020;Alpukat;86932;Kabupaten
Pasuruan;2020;Alpukat;667509;Kabupaten
Sidoarjo;2020;Alpukat;9424;Kabupaten
Mojokerto;2020;Alpukat;9424;Kabupaten
Jombang;2020;Alpukat;4473;Kabupaten
Nganjuk;2020;Alpukat;49592;Kabupaten
Madiun;2020;Alpukat;8606;Kabupaten
Magetan;2020;Alpukat;15747;Kabupaten
Ngawi;2020;Alpukat;5250;Kabupaten
Bojonegoro;2020;Alpukat;74;Kabupaten
Tuban;2020;Alpukat;1106;Kabupaten
Lamongan;2020;Alpukat;248;Kabupaten
Gresik;2020;Alpukat;1142;Kabupaten
Bangkalan;2020;Alpukat;512;Kabupaten
Sampang;2020;Alpukat;187;Kabupaten
Pamekasan;2020;Alpukat;15675;Kabupaten
Sumenep;2020;Alpukat;297;Kabupaten
Kediri;2020;Alpukat;599;Kota
Blitar;2020;Alpukat;669;Kota
Malang;2020;Alpukat;357;Kota
Probolinggo;2020;Alpukat;10;Kota
Pasuruan;2020;Alpukat;173;Kota
Mojokerto;2020;Alpukat;9424;Kota
Madiun;2020;Alpukat;9424;Kota
Surabaya;2020;Alpukat;4;Kota
Batu;2020;Alpukat;58022;Kota
Pacitan;2021;Alpukat;17726;Kabupaten
Ponorogo;2021;Alpukat;46683;Kabupaten
Trenggalek;2021;Alpukat;39584;Kabupaten
Tulungagung;2021;Alpukat;24776;Kabupaten
Blitar;2021;Alpukat;120285;Kabupaten
Kediri;2021;Alpukat;130983;Kabupaten
Malang;2021;Alpukat;518011;Kabupaten
Lumajang;2021;Alpukat;30217;Kabupaten
Jember;2021;Alpukat;50740;Kabupaten
Banyuwangi;2021;Alpukat;12464;Kabupaten
Bondowoso;2021;Alpukat;53282;Kabupaten
Situbondo;2021;Alpukat;3054;Kabupaten
Probolinggo;2021;Alpukat;35921;Kabupaten
Pasuruan;2021;Alpukat;53186;Kabupaten
Sidoarjo;2021;Alpukat;43;Kabupaten
Mojokerto;2021;Alpukat;25041;Kabupaten
Jombang;2021;Alpukat;13405;Kabupaten
Nganjuk;2021;Alpukat;79874;Kabupaten
Madiun;2021;Alpukat;12904;Kabupaten
Magetan;2021;Alpukat;19784;Kabupaten
Ngawi;2021;Alpukat;7704;Kabupaten
Bojonegoro;2021;Alpukat;456;Kabupaten
Tuban;2021;Alpukat;1166;Kabupaten
Lamongan;2021;Alpukat;92;Kabupaten
Gresik;2021;Alpukat;1253;Kabupaten
Bangkalan;2021;Alpukat;1205;Kabupaten
Sampang;2021;Alpukat;231;Kabupaten
Pamekasan;2021;Alpukat;5453;Kabupaten
Sumenep;2021;Alpukat;850;Kabupaten
Kediri;2021;Alpukat;2194;Kota
Blitar;2021;Alpukat;1093;Kota
Malang;2021;Alpukat;745;Kota
Probolinggo;2021;Alpukat;12;Kota
Pasuruan;2021;Alpukat;168;Kota
Mojokerto;2021;Alpukat;12684;Kota
Madiun;2021;Alpukat;12684;Kota
Surabaya;2021;Alpukat;4;Kota
Batu;2021;Alpukat;58334;Kota
Pacitan;2018;Belimbing;2204;Kabupaten
Ponorogo;2018;Belimbing;7860;Kabupaten
Trenggalek;2018;Belimbing;4549;Kabupaten
Tulungagung;2018;Belimbing;70556;Kabupaten
Blitar;2018;Belimbing;134572;Kabupaten
Kediri;2018;Belimbing;26518;Kabupaten
Malang;2018;Belimbing;59253;Kabupaten
Lumajang;2018;Belimbing;7127;Kabupaten
Jember;2018;Belimbing;27838;Kabupaten
Banyuwangi;2018;Belimbing;5094;Kabupaten
Bondowoso;2018;Belimbing;3519;Kabupaten
Situbondo;2018;Belimbing;1230;Kabupaten
Probolinggo;2018;Belimbing;2207;Kabupaten
Pasuruan;2018;Belimbing;24339;Kabupaten
Sidoarjo;2018;Belimbing;7860;Kabupaten
Mojokerto;2018;Belimbing;6058;Kabupaten
Jombang;2018;Belimbing;8030;Kabupaten
Nganjuk;2018;Belimbing;5079;Kabupaten
Madiun;2018;Belimbing;9095;Kabupaten
Magetan;2018;Belimbing;384;Kabupaten
Ngawi;2018;Belimbing;5642;Kabupaten
Bojonegoro;2018;Belimbing;21776;Kabupaten
Tuban;2018;Belimbing;23729;Kabupaten
Lamongan;2018;Belimbing;4209;Kabupaten
Gresik;2018;Belimbing;3771;Kabupaten
Bangkalan;2018;Belimbing;397;Kabupaten
Sampang;2018;Belimbing;393;Kabupaten
Pamekasan;2018;Belimbing;1069;Kabupaten
Sumenep;2018;Belimbing;1038;Kabupaten
Kediri;2018;Belimbing;637;Kota
Blitar;2018;Belimbing;16588;Kota
Malang;2018;Belimbing;1423;Kota
Probolinggo;2018;Belimbing;502;Kota
Pasuruan;2018;Belimbing;3175;Kota
Mojokerto;2018;Belimbing;25;Kota
Madiun;2018;Belimbing;320;Kota
Surabaya;2018;Belimbing;4967;Kota
Batu;2018;Belimbing;91;Kota
Pacitan;2019;Belimbing;1739;Kabupaten
Ponorogo;2019;Belimbing;9688;Kabupaten
Trenggalek;2019;Belimbing;3673;Kabupaten
Tulungagung;2019;Belimbing;53922;Kabupaten
Blitar;2019;Belimbing;128474;Kabupaten
Kediri;2019;Belimbing;20937;Kabupaten
Malang;2019;Belimbing;64408;Kabupaten
Lumajang;2019;Belimbing;6511;Kabupaten
Jember;2019;Belimbing;44241;Kabupaten
Banyuwangi;2019;Belimbing;2376;Kabupaten
Bondowoso;2019;Belimbing;2759;Kabupaten
Situbondo;2019;Belimbing;688;Kabupaten
Probolinggo;2019;Belimbing;2462;Kabupaten
Pasuruan;2019;Belimbing;9646;Kabupaten
Sidoarjo;2019;Belimbing;7973;Kabupaten
Mojokerto;2019;Belimbing;5187;Kabupaten
Jombang;2019;Belimbing;21812;Kabupaten
Nganjuk;2019;Belimbing;21522;Kabupaten
Madiun;2019;Belimbing;4803;Kabupaten
Magetan;2019;Belimbing;519;Kabupaten
